2103872 set_mempolicy(MPOL_BIND, [0x00000000000003], 65) = 0
2103872 sched_setaffinity(0, 1024, [1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93 95 97 99 101 103 105 107 109 111 113 115 117 119 121 123 125 127 129 131 133 135 137 139 141 143 145 147 149 151 153 155 157 159 161 163 165 167 169 171 173 175 177 179 181 183 185 187 189 191 193 195 197 199 201 203 205 207 209 211 213 215 217 219 221 223 225 227 229 231 233 235 237 239 241 243 245 247 249 251 253 255 ...]) = 0
2103872 set_mempolicy(MPOL_PREFERRED, [0x00000000000002], 65) = 0
2103927 mbind(0x3d388400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d388800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d388c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d389000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d389400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d389800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d389c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38a000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38a400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38a800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38ac00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38b000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38b400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38b800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38bc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38c000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38c400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38c800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38cc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38d000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38d400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38d800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38dc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38e000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38e400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38e800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38ec00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38f000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38f400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38f800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d38fc00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d390000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d390400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d390800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d390c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d391000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d391400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d391800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d391c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d392000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d392400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d392800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103927 mbind(0x3d392c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103916 mbind(0x3d393000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103956 mbind(0x3d393400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103981 mbind(0x3d393800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103987 mbind(0x3d393c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0 <unfinished ...>
2103987 <... mbind resumed>)            = 0
2103994 mbind(0x3d394000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2104001 mbind(0x3d394400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d394800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d394c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d395000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d395400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d395800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d395c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d396000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d396400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d396800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d396c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d397000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d397400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d397800000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d397c00000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d398000000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
2103997 mbind(0x3d398400000, 4194304, MPOL_BIND, [0x00000000000003], 65, 0) = 0
